2026-07-07 15:20:34 | INFO | [用户认证] [登录] user= | url= | 用户 admin 登录成功
2026-07-07 15:20:34 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:20:34 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:22:05 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:22:09 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:22:13 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:22:40 | INFO | [用户认证] [登录] user=USER001 | url= | 用户 admin 登录成功
2026-07-07 15:22:40 | INFO | [用户认证] [登录] user= | url= | 用户 admin 登录成功
2026-07-07 15:22:40 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:22:40 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 15:22:47 | INFO | [流程审批] [校级复审] user=USER001 | url= | 流程 2ac6d71c156e411a9962b476f84cb6b7 复审 PASS
2026-07-07 15:22:58 | INFO | [权限管理] [查询] user=81478f9b121e4f808b247f880ad6c13c | url= | 查询用户权限列表
2026-07-07 15:23:12 | INFO | [流程审批] [资产归还] user=81478f9b121e4f808b247f880ad6c13c | url= | 归还领用单 4429a1973487457fa154de206f95a441
2026-07-07 15:24:43 | INFO | [流程审批] [报修申请] user=81478f9b121e4f808b247f880ad6c13c | url= | 报修资产 AST_694E929DD3774705
2026-07-07 15:24:53 | INFO | [用户认证] [登录] user=USER002 | url= | 用户 dept_admin 登录成功
2026-07-07 15:24:53 | INFO | [用户认证] [登录] user= | url= | 用户 dept_admin 登录成功
2026-07-07 15:24:53 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 15:24:53 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 15:25:01 | INFO | [流程审批] [学院初审] user=USER002 | url= | 流程 f293a7478aea4283af959dec02dc62d3 初审 PASS
2026-07-07 15:25:11 | INFO | [用户认证] [登录] user=USER001 | url= | 用户 admin 登录成功
